Symbol,Sector
A049520,하드웨어
A049550,하드웨어
A049630,하드웨어
A049720,상업서비스
A049770,음식료_및_담배
A049800,자본재
A049830,소재
A049950,디스플레이
A049960,제약_및_바이오
A050090,디스플레이
A050110,하드웨어
A050120,내구_소비재_및_의류
A050320,
A050540,
A050760,소재
A050860,자본재
A050890,하드웨어
A050960,소프트웨어
A051160,유통
A051360,디스플레이
A051370,하드웨어
A051380,유통
A051390,유통
A051490,자본재
A051500,음식료_및_담배
A051600,유틸리티
A051630,소재
A051780,미디어
A051900,생활용품
A051910,소재
A051980,자본재
A052020,하드웨어
A052190,
A052220,미디어
A052260,생활용품
A052290,
A052300,운송
A052330,디스플레이
A052400,
A052420,디스플레이
A052460,소프트웨어
A052600,상업서비스
A052670,제약_및_바이오
A052690,에너지
A052710,하드웨어
A052770,
A052790,소프트웨어
A052860,반도체
A052900,반도체
A053030,제약_및_바이오
A053050,유틸리티
A053060,
A053080,
A053110,미디어
A053160,자본재
A053210,미디어
A053260,소재
A053270,자동차_및_부품
A053280,유통
A053290,소비자_서비스
A053300,소프트웨어
A053350,소프트웨어
A053450,하드웨어
A053580,소프트웨어
A053590,자동차_및_부품
A053610,반도체
A053620,생활용품
A053660,
A053690,자본재
A053700,자동차_및_부품
A053800,소프트웨어
A053950,제약_및_바이오
A053980,소프트웨어
A054040,디스플레이
A054050,제약_및_바이오
A054090,디스플레이
A054180,자본재
A054210,하드웨어
A054220,
A054300,자동차_및_부품
A054340,
A054410,소재
A054450,반도체
A054540,자본재
A054620,소프트웨어
A054630,내구_소비재_및_의류
A054670,제약_및_바이오
A054780,미디어
A054800,하드웨어
A054920,소프트웨어
A054930,자본재
A054940,내구_소비재_및_의류
A054950,의료장비_및_서비스
A055490,하드웨어
A055550,은행
A056000,소프트웨어
A056080,자본재
A056090,의료장비_및_서비스
A056190,운송
A056360,하드웨어
A056700,디스플레이
A056730,
A057030,소비자_서비스
A057050,유통
A057500,반도체
A057540,자본재
A057680,소프트웨어
A057880,
A058110,의료장비_및_서비스
A058220,
A058400,미디어
A058420,
A058430,소재
A058450,
A058470,반도체
A058530,
A058610,자본재
A058630,소프트웨어
A058650,소재
A058730,운송
A058820,제약_및_바이오
A058850,상업서비스
A058860,상업서비스
A059090,반도체
A059100,디스플레이
A059120,반도체
A059210,의료장비_및_서비스
A060150,상업서비스
A060230,하드웨어
A060240,소프트웨어
A060250,소프트웨어
A060260,자본재
A060280,음식료_및_담배
A060300,
A060310,자본재
A060370,자본재
A060380,소재
A060480,소재
A060540,하드웨어
A060560,소재
A060570,미디어
A060590,제약_및_바이오
A060720,하드웨어
A060850,소프트웨어
A060900,에너지
A060980,자동차_및_부품
A061040,하드웨어
A061250,제약_및_바이오
A061970,반도체
A062860,디스플레이
A062970,하드웨어
A063080,소프트웨어
A063160,제약_및_바이오
A063170,유통
A063440,미디어
A063570,상업서비스
A063760,디스플레이
A064090,생활용품
A064240,하드웨어
A064260,소프트웨어
A064290,반도체
A064350,운송
A064480,소프트웨어
A064510,자본재
A064520,
A064550,제약_및_바이오
A064760,반도체
A064800,내구_소비재_및_의류
A064820,자본재
A064960,자동차_및_부품
A065060,내구_소비재_및_의류
A065130,디스플레이
A065150,
A065160,
A065170,음식료_및_담배
A065350,내구_소비재_및_의류
A065370,소프트웨어
A065420,
A065440,소프트웨어
A065450,상업서비스
A065500,자동차_및_부품
A065510,의료장비_및_서비스
A065530,통신서비스
A065560,소재
A065570,자본재
A065620,
A065650,하드웨어
A065660,제약_및_바이오
A065680,
A065690,하드웨어
A065710,운송
A065770,하드웨어
A065940,
A065950,자본재
A066110,
A066130,내구_소비재_및_의류
A066310,반도체
A066360,음식료_및_담배
A066410,미디어
A066430,
A066570,내구_소비재_및_의류
A066590,자동차_및_부품
A066620,자본재
A066670,하드웨어
